trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
154,False,"{'a': 0.23105982451958537, 'e': 0.21272570322901874}",20,0,8.67550714602549,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
155,False,"{'a': 0.22990452539698744, 'e': 0.21059844619672854}",25,9,13.998393218730431,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.2287550027700025, 'e': 0.20849246173476127}",25,10,14.563665987701723,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.22761122775615247, 'e': 0.20640753711741366}",20,14,1.387895507734111,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.2264731716173717, 'e': 0.20434346174623952}",25,13,-3.1086185583729034,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.22534080575928486, 'e': 0.20230002712877712}",25,14,10.474455107038182,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.22421410173048845, 'e': 0.20027702685748935}",20,7,-25.41511569142623,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
161,False,"{'a': 0.223093031221836, 'e': 0.19827425658891445}",30,8,-15.45778753534482,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 0}",1
162,False,"{'a': 0.2219775660657268, 'e': 0.1962915140230253}",20,7,25.015258120528525,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.22086767823539816, 'e': 0.19432859888279505}",25,0,-16.622144246289945,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
164,False,"{'a': 0.21976333984422117, 'e': 0.1923853128939671}",35,9,46.406693364689936,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.21866452314500007, 'e': 0.19046145976502743}",30,23,5.248581485902254,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.21757120052927506, 'e': 0.18855684516737714}",20,6,-18.725186654733655,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
167,False,"{'a': 0.21648334452662868, 'e': 0.18667127671570335}",25,8,5.31967200799474,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
168,False,"{'a': 0.21540092780399553, 'e': 0.18480456394854633}",30,7,37.83095981119416,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.21432392316497556, 'e': 0.18295651830906087}",20,9,18.747288365358926,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.21325230354915067, 'e': 0.18112695312597027}",20,0,-43.371537982752635,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
171,False,"{'a': 0.21218604203140493, 'e': 0.17931568359471056}",25,3,-17.24482308463702,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
